"id","apply_start_ym","apply_end_ym","pay_range_above","pay_range_under","no_dependent","one_dependent","two_dependent","three_dependent","four_dependent","five_dependent","six_dependent","seven_dependent","created_at","updated_at"
8,200701,200803,0,88000,0,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
9,200701,200803,88000,89000,130,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
10,200701,200803,89000,90000,180,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
11,200701,200803,90000,91000,230,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
12,200701,200803,91000,92000,280,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
13,200701,200803,92000,93000,330,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
14,200701,200803,93000,94000,380,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
15,200701,200803,94000,95000,430,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
16,200701,200803,95000,96000,480,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
17,200701,200803,96000,97000,530,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
18,200701,200803,97000,98000,580,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
19,200701,200803,98000,99000,630,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
20,200701,200803,99000,101000,710,0,0,0,0,0,0,0,"2009-04-26 23:07:00","2009-04-26 23:07:00"
21,200701,200803,101000,103000,810,0,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
22,200701,200803,103000,105000,910,0,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
23,200701,200803,105000,107000,1010,0,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
24,200701,200803,107000,109000,1110,0,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
25,200701,200803,109000,111000,1210,0,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
26,200701,200803,111000,113000,1310,0,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
27,200701,200803,113000,115000,1410,0,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
28,200701,200803,115000,117000,1510,0,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
29,200701,200803,117000,119000,1610,0,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
30,200701,200803,119000,121000,1710,120,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
31,200701,200803,121000,123000,1810,220,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
32,200701,200803,123000,125000,1910,320,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
33,200701,200803,125000,127000,2010,420,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
34,200701,200803,127000,129000,2110,520,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
35,200701,200803,129000,131000,2210,620,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
36,200701,200803,131000,133000,2310,720,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
37,200701,200803,133000,135000,2410,820,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
38,200701,200803,135000,137000,2500,910,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
39,200701,200803,137000,139000,2560,970,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
40,200701,200803,139000,141000,2620,1030,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
41,200701,200803,141000,143000,2680,1090,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
42,200701,200803,143000,145000,2740,1150,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
43,200701,200803,145000,147000,2800,1210,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
44,200701,200803,147000,149000,2860,1270,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
45,200701,200803,149000,151000,2920,1330,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
46,200701,200803,151000,153000,2990,1400,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
47,200701,200803,153000,155000,3060,1470,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
48,200701,200803,155000,157000,3130,1540,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
49,200701,200803,157000,159000,3200,1610,0,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
50,200701,200803,159000,161000,3270,1680,100,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
51,200701,200803,161000,163000,3340,1750,170,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
52,200701,200803,163000,165000,3410,1820,240,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
53,200701,200803,165000,167000,3480,1890,310,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
54,200701,200803,167000,169000,3550,1960,380,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
55,200701,200803,169000,171000,3620,2030,450,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
56,200701,200803,171000,173000,3690,2100,520,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
57,200701,200803,173000,175000,3760,2170,590,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
58,200701,200803,175000,177000,3830,2240,660,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
59,200701,200803,177000,179000,3900,2310,730,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
60,200701,200803,179000,181000,3970,2380,800,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
61,200701,200803,181000,183000,4040,2450,870,0,0,0,0,0,"2009-04-26 23:07:01","2009-04-26 23:07:01"
